site_name,os_type_1,os_type_2,os_type_2,pf_type,pf_registration
glossynews.com,satire,,,,
godlikeproductions.com,conspiracy,,,,
gomerblog.com,satire,,,,
goneleft.com,fake,,,,
gopthedailydose.com,fake,conspiracy,bias,,
govtslaves.info,conspiracy,,,,
greanvillepost.com,conspiracy,,,,
greenmedinfo.com,junksci,,,,
guardianlv.com,political,,,,
guccifer2.wordpress.com,unreliable,,,,
gulagbound.com,bias, ,,,
gummypost.com,,,,Fake news,"Scottsdale, Ariz. **"
gummypost.com,fake,,,,
hangthebankers.com,conspiracy, ,,,
healthimpactnews.com,junksci,bias,,,
healthnutnews.com,junksci,,,,
healthycareandbeauty.com,,,,Some fake stories,"Berlin, Germany"
healthycareandbeauty.com,fake,unreliable,,,
healthy-holistic-living.com,junksci,clickbait,,,
healthyworldhouse.com,,,,Fake news,"Kumanovo, Macedonia"
healthyworldhouse.com,fake,,,,
heartland.org,bias,,,,
heatst.com,clickbait,bias,,,
henrymakow.com,conspiracy, ,,,
heresyblog.net,bias,conspiracy,rumor,,
heritage.org,political,,,,
holyobserver.com,satire,,,,
horowitzfreedomcenter.org,bias,,,,
houstonchronicle-tv.com,,,,Imposter site,"Scottsdale, Ariz. **"
humansarefree.com,conspiracy,,,,
humortimes.com,satire,,,,
huzlers.com,satire,,,,
icr.org,junksci,,,,
ifyouonlynews.com,unreliable,satire,,,
ihavethetruth.com,bias,clickbait,fake,,
ihr.org,hate,,,,
ijr.com,political,bias,unreliable,,
illuminati-news.com,conspiracy,,,,
ilovemyfreedom.org,bias,clickbait,,,
ilovenativeamericans.us,,,,Some fake stories,"Kosovo, Serbia"
immediatesafety.org,fake,,,,
in5d.com,junksci,,,,
indiaarising.com,clickbait,unreliable,,,
infiniteunknown.net,conspiracy,,,,
informationclearinghouse.info,conspiracy,unreliable,,,
informetoday.com,bias,unreliable,,,
infostormer.com,fake,hate,conspiracy,,
infowars.com,conspiracy,,,,
instaworldnews.com,bias,,,,
intellihub.com,conspiracy,unreliable,,,
interestingdailynews.com,,,,Fake news,"Orem, Utah~"
interestingdailynews.com,fake,,,,
intrendtoday.com,fake,clickbait,,,
intrepidreport.com,bias,,,,
investmentresearchdynamics.com,conspiracy,,,,
investmentwatchblog.com,bias,fake,,,
ironictimes.com,satire,,,,
islamicanews.com,satire,,,,
isthatlegit.com,,,,Fake news,"Toronto, Canada !!!"
itaglive.com,fake,,,,
itccs.org,conspiracy,,,,
itmakessenseblog.com,fake,,,,
iwanttoexplore.com,fake,,,,
jackpineradicals.com,political,,,,
jacobinmag.com,political,,,,
jamesrgrangerjr.com,bias,,,,
jesus-is-savior.com,conspiracy,,,,
jewsnews.co.il,,,,Some fake stories,"Shiloh, Israel"
jewsnews.co.il,unreliable,bias,fake,,
jihadwatch.org,conspiracy,hate,,,
johnnyrobish.com,satire,,,,
jonesreport.com,conspiracy,,,,
journal-neo.org,bias,,,,
judicialwatch.org,political,,,,
katehon.com,bias,,,,
kmt11.com,,,,Imposter site,"Scottsdale, Ariz. **"
kmt11.com,fake,,,,
knowledgeoftoday.org,conspiracy,,,,
konkonsagh.biz,,,,Fake news,"Ashanti, Ghana"
konkonsagh.biz,fake,,,,
krbcnews.com,fake,,,,
ky12news.com,,,,Imposter site,"Scottsdale, Ariz. **"
ky12news.com,fake,,,,
ladylibertynews.com,fake,,,,
ladylibertysnews.com,,,,Fake news,"Kirkland, Wash.***"
landoverbaptist.org,satire,,,,
lastdeplorables.com,,,,Fake news,"Scottsdale, Ariz. **"
lastdeplorables.com,fake,,,,
learnprogress.org,,,,Some fake stories,"Scottsdale, Ariz. **"
learnprogress.org,fake,bias,,,
lewrockwell.com,bias,unreliable,political,,
liberalamerica.org,clickbait,bias,,,
liberalbias.com,satire,,,,
liberaldarkness.com,satire,fake,,,
liberalplug.com,,,,Fake news,"Scottsdale, Ariz. **"
liberalplug.com,fake,,,,
libertyalliance.com,,,,Fake news,"Dallas, Ga. "
libertyalliance.com,fake,,,,
libertyblitzkrieg.com,fake,,,,
liberty-courier.com,,,,Fake news,"Orem, Utah~"
libertyfederation.com,hate,,,,
libertymovementradio.com,conspiracy,,,,
libertynews.com,unreliable,bias,,,
libertytalk.fm,conspiracy,,,,
libertyunyielding.com,bias,,,,
libertyvideos.org,conspiracy,,,,
libertywritersnews.com,clickbait,bias,unreliable,,
lifeandabout.com,bias,,,,
lifenews.com,bias,clickbait,,,
lifeprevention.com,junksci,,,,
lifesitenews.com,clickbait,bias,,,
lifezette.com,clickbait,,,,
liveactionnews.org,bias,,,,
livevote.com,clickbait,,,,
loanpride.com,rumor,clickbait,,,
local31news.com,,,,Imposter site,"Scottsdale, Ariz. **"
local31news.com,fake,,,,
lovethispic.com,clickbait,junksci,,,
lushforlife.com,satire,,,,
madpatriots.com,unreliable,clickbait,,,
madworldnews.com,,,,Fake news,"Scottsdale, Ariz. **"
madworldnews.com,fake,,,,
madworldnews.com,unreliable,hate,,,
madworldnews.com,unreliable,clickbait,,,
mad-yet.blogspot.com,unreliable,,,,
magafeed.com,rumor,bias,fake,,
maganews.co,fake,,,,
majorthoughts.com,,,,Fake news,"Sunrise, Fla. "
majorthoughts.com,fake,,,,
makeamericagreattoday.com,bias,fake,,,
meanlefthook.com,bias,clickbait,,,
mediamass.net,fake,,,,
mediazone.news,rumor,unreliable,,,
megafreshnews.com,rumor,,,,
megynkelly.us,fake,,,,
mentor2day.com,,,,Some fake stories,"Scottsdale, Ariz. **"
mentor2day.com,fake,,,,
metropolitanworlds.com,,,,Fake news,"Accra, Ghana"
metropolitanworlds.com,fake,,,,
militianews.com,conspiracy,bias,hate,,
mintpressnews.com,political,,,,
mississippiherald.com,,,,Imposter site,"Toronto, Canada !!!"
molonlabemedia.com,bias,conspiracy,,,
moonofalabama.org,bias,,,,
morningledger.com,unreliable,conspiracy,,,
morningnewsusa.com,unreliable,,,,
mpidailymagazine.com,fake,bias,,,
mrc.org,political,bias,,,
mrconservative.com,fake,satire,,,
msnbc.website,fake,,,,
myfreshnews.com,fake,bias,,,
myzonetoday.com,fake,bias,,,
nahadaily.com,satire,,,,
nakedcapitalism.com,political,,,,
nasamoonhoax.com,conspiracy,,,,
nationalreport.net,,,,Parody site,"Scottsdale, Ariz. **"
nationalreport.net,satire,fake,,,
nationalreview.com,political,,,,
nationalufocenter.com,conspiracy,,,,
nationalvanguard.org,hate,,,,
nationindistress.weebly.com,conspiracy,,,,
nationonenews.com,fake,conspiracy,,,
nativeamericans.us,,,,Some fake stories,"Cary, N.C."
naturalblaze.com,junksci,conspiracy,,,
naturalnews.com,junksci,conspiracy,,,
naturalnewsblogs.com,junksci,,,,
nbc.com.co,,,,Imposter site,"Phoenix, Ariz."
nbc.com.co,fake,,,,
ncscooper.com,satire,,,,
neonnettle.com,,,,Fake news,"Toronto, Canada !!!"
neonnettle.com,conspiracy,fake,bias,,
nephef.com,,,,Fake news,"Panama, Pa.*"
nephef.com,fake,,,,
nevo.news,unreliable,bias,,,
newcenturytimes.com,unreliable,bias,,,
newcoldwar.org,political,,,,
newpoliticstoday.com,,,,Fake news,"Kumanovo, Macedonia"
newpoliticstoday.com,fake,,,,
news4ktla.com,,,,Imposter site,"Scottsdale, Ariz. **"
news4ktla.com,fake,satire,,,
newsbbc.net,fake,,,,
newsbiscuit.com,satire,,,,
newsbreakers.org,satire,,,,
newsbreakingspipe.com,,,,Fake news,"Limassol, Cyprus"
newsbreakshere.com,,,,Fake news,"Chesterbrook, Pa.^"
newsbreakshere.com,fake,,,,
newsbysquad.com,,,,Fake news,"Panama, Pa. *"
newsbysquad.com,fake,,,,
newscorpse.com,political, , ,,
newsdaily12.com,,,,Imposter site,"Scottsdale, Ariz. **"
newsdaily12.com,fake,,,,
newsexaminer.net,,,,Fake news,"Nobby Beach, Australia !!"
newsexaminer.net,fake,satire, ,,
newsfrompolitics.com,fake,,,,
newsjustforyou1.blogspot.com,,,,Fake news,"Mountain View, Calif."
newsleak.co,,,,Fake news,"Tblisi, Georgia"
newsleak.co,fake,,,,
newslo.com,,,,Parody site,"Thessaloniki, Greece"
newslo.com,fake,,,,
newslogue.com,bias,fake,,,
newsmagazine.com,fake,,,,
newsmax.com,unreliable,bias,,,
newsmutiny.com,satire,fake,,,
newsninja2012.com,bias, ,,,
newstarget.com,conspiracy,,,,
newsthump.com,satire,,,,
newstoad.net,satire,,,,
newswatch28.com,fake,,,,
newswatch33.com,fake,,,,
newswire-24.com,rumor,unreliable,,,
newswithviews.com,fake,conspiracy,,,
newyorker.com/humor,satire,,,,
newzmagazine.com,,,,Fake news,"Scottsdale, Ariz. **"
nodisinfo.com,conspiracy,unreliable,,,
nomorefakenews.com,conspiracy,,,,
northcrane.com,unreliable,,,,
notallowedto.com,,,,Fake news,https://www.whois.com/whois/notallowedto.com
notallowedto.com,clickbait,fake,,,
now8news.com,,,,Imposter site,"Scottsdale, Ariz. **"
now8news.com,fake,,,,
nowtheendbegins.com,conspiracy,,,,
npiamerica.org,hate,bias,,,
nutritionalanarchy.com,unreliable,,,,
nutritionfacts.org,reliable,,,,
nymeta.co,clickbait,satire,,,
oann.com,political,reliable,,,
oathkeepers.org,bias,,,,
objectiveministries.org,satire,,,,
observer.com,political,,,,
occupy.com,political,,,,
occupydemocrats.com,clickbait,bias,unreliable,,
occupyliberals.com,bias,clickbait,,,
offgridsurvival.com,conspiracy,bias,,,
off-guardian.org,bias,conspiracy,,,
oftwominds.com,bias,conspiracy,,,
oilgeopolitics.net,conspiracy,,,,
onepoliticalplaza.com,,,,Fake news,"Miami, Fla.^^^"
onepoliticalplaza.com,fake,,,,
onlineconservativepress.com,fake,conspiracy,bias,,
